animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,stimulus,trials,n_mouse_go,n_gt_go,n_ofc_go,p_mouse_go,p_gt_go,p_ofc_go,error_trials_only,n_acx_go,p_acx_go,n_behavior_match,p_behavior_match,odds_behavior_match,models_agree_only,agreement_state
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.837187400657122,6,,,,,,,,,,3.0,0.5,1.0,True,Both Go
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.837187400657122,1,,,,,,,,,,0.0,0.0,,True,Both No-Go
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.9110124638462896,6,,,,,,,,,,3.0,0.5,1.0,True,Both Go
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,0.9110124638462896,4,,,,,,,,,,2.0,0.5,1.0,True,Both No-Go
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.07876684098121,7,,,,,,,,,,6.0,0.8571428571428571,5.999999999999997,True,Both Go
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.07876684098121,5,,,,,,,,,,2.0,0.4,0.6666666666666667,True,Both No-Go
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.1738949211927685,4,,,,,,,,,,3.0,0.75,3.0,True,Both Go
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.1738949211927685,3,,,,,,,,,,2.0,0.6666666666666666,1.9999999999999998,True,Both No-Go
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.27741160893374,5,,,,,,,,,,2.0,0.4,0.6666666666666667,True,Both Go
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.27741160893374,4,,,,,,,,,,3.0,0.75,3.0,True,Both No-Go
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.390056630435602,4,,,,,,,,,,2.0,0.5,1.0,True,Both Go
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,True,1.390056630435602,2,,,,,,,,,,1.0,0.5,1.0,True,Both No-Go
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,0.7070000000000001,38,35.0,38.0,,0.9210526315789473,1.0,,False,18.0,0.47368421052631576,,,,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,0.769344846128565,38,35.0,38.0,,0.9210526315789473,1.0,,False,22.0,0.5789473684210527,,,,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,0.837187400657122,37,35.0,37.0,,0.9459459459459459,1.0,,False,17.0,0.4594594594594595,,,,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,0.9110124638462896,37,33.0,37.0,,0.8918918918918919,1.0,,False,20.0,0.5405405405405406,,,,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.07876684098121,38,27.0,0.0,,0.7105263157894737,0.0,,False,14.0,0.3684210526315789,,,,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.1738949211927685,38,14.0,0.0,,0.3684210526315789,0.0,,False,18.0,0.47368421052631576,,,,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.27741160893374,37,17.0,0.0,,0.4594594594594595,0.0,,False,25.0,0.6756756756756757,,,,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.390056630435602,37,16.0,0.0,,0.43243243243243246,0.0,,False,20.0,0.5405405405405406,,,,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.07876684098121,27,27.0,0.0,,1.0,0.0,,True,11.0,0.4074074074074074,,,,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.1738949211927685,14,14.0,0.0,,1.0,0.0,,True,7.0,0.5,,,,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.27741160893374,17,17.0,0.0,,1.0,0.0,,True,11.0,0.6470588235294118,,,,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.390056630435602,16,16.0,0.0,,1.0,0.0,,True,10.0,0.625,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,14,7.0,0.0,,0.5,0.0,,False,5.0,0.35714285714285715,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.1738949211927685,14,2.0,0.0,,0.14285714285714285,0.0,,False,3.0,0.21428571428571427,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.27741160893374,14,4.0,0.0,,0.2857142857142857,0.0,,False,3.0,0.21428571428571427,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.390056630435602,14,0.0,0.0,,0.0,0.0,,False,2.0,0.14285714285714285,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.64602248543222,14,5.0,14.0,,0.35714285714285715,1.0,,False,9.0,0.6428571428571429,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.7911724409886975,14,11.0,14.0,,0.7857142857142857,1.0,,False,12.0,0.8571428571428571,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.9491220452647464,14,12.0,14.0,,0.8571428571428571,1.0,,False,11.0,0.7857142857142857,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,2.121,14,11.0,14.0,,0.7857142857142857,1.0,,False,13.0,0.9285714285714286,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,7,7.0,0.0,,1.0,0.0,,True,3.0,0.42857142857142855,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.64602248543222,9,0.0,9.0,,0.0,1.0,,True,4.0,0.4444444444444444,,,,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,0.7070000000000001,53,14.0,53.0,,0.2641509433962264,1.0,,False,32.0,0.6037735849056604,,,,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,0.7890990840419705,53,8.0,53.0,,0.1509433962264151,1.0,,False,35.0,0.660377358490566,,,,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,0.8807317743081708,52,6.0,52.0,,0.11538461538461539,1.0,,False,35.0,0.6730769230769231,,,,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,1.2245599209511964,55,9.0,0.0,,0.16363636363636364,0.0,,False,43.0,0.7818181818181819,,,,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,1.3667597057667562,55,2.0,0.0,,0.03636363636363636,0.0,,False,37.0,0.6727272727272727,,,,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,1.5254721809420373,54,2.0,0.0,,0.037037037037037035,0.0,,False,42.0,0.7777777777777778,,,,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,0.7070000000000001,39,0.0,39.0,,0.0,1.0,,True,26.0,0.6666666666666666,,,,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,0.7890990840419705,45,0.0,45.0,,0.0,1.0,,True,31.0,0.6888888888888889,,,,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,0.8807317743081708,46,0.0,46.0,,0.0,1.0,,True,32.0,0.6956521739130435,,,,,
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,1.2245599209511964,9,9.0,0.0,,1.0,0.0,,True,9.0,1.0,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,0.7070000000000001,69,64.0,69.0,44.0,0.927536231884058,1.0,0.6376811594202898,False,36.0,0.5217391304347826,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,0.7890990840419705,66,63.0,66.0,37.0,0.9545454545454546,1.0,0.5606060606060606,False,45.0,0.6818181818181818,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,0.8807317743081708,66,61.0,66.0,43.0,0.9242424242424242,1.0,0.6515151515151515,False,43.0,0.6515151515151515,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,1.0971548207581594,66,58.0,0.0,33.0,0.8787878787878788,0.0,0.5,False,33.0,0.5,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,1.2245599209511964,66,38.0,0.0,37.0,0.5757575757575758,0.0,0.5606060606060606,False,37.0,0.5606060606060606,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,1.3667597057667562,67,26.0,0.0,41.0,0.3880597014925373,0.0,0.6119402985074627,False,38.0,0.5671641791044776,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,0.7070000000000001,5,0.0,5.0,3.0,0.0,1.0,0.6,True,3.0,0.6,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,0.8807317743081708,5,0.0,5.0,5.0,0.0,1.0,1.0,True,2.0,0.4,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,1.0971548207581594,58,58.0,0.0,27.0,1.0,0.0,0.46551724137931033,True,29.0,0.5,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,1.2245599209511964,38,38.0,0.0,24.0,1.0,0.0,0.631578947368421,True,21.0,0.5526315789473685,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,1.3667597057667562,26,26.0,0.0,16.0,1.0,0.0,0.6153846153846154,True,13.0,0.5,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,0.7070000000000001,35,,,,,,,,,,22.0,0.6285714285714286,1.6923076923076923,True,Models agree (pooled)
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,0.7890990840419705,28,,,,,,,,,,22.0,0.7857142857142857,3.6666666666666665,True,Models agree (pooled)
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,0.8807317743081708,32,,,,,,,,,,24.0,0.75,3.0,True,Models agree (pooled)
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,1.0971548207581594,36,,,,,,,,,,16.0,0.4444444444444444,0.7999999999999999,True,Models agree (pooled)
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,1.2245599209511964,32,,,,,,,,,,19.0,0.59375,1.4615384615384615,True,Models agree (pooled)
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,1.3667597057667562,34,,,,,,,,,,14.0,0.4117647058823529,0.7,True,Models agree (pooled)
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,0.7070000000000001,14,,,,,,,,,,8.0,0.5714285714285714,1.3333333333333333,True,Both Go
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,0.7070000000000001,3,,,,,,,,,,2.0,0.6666666666666666,1.9999999999999998,True,Both No-Go
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,0.7890990840419705,7,,,,,,,,,,7.0,1.0,,True,Both Go
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,0.7890990840419705,5,,,,,,,,,,4.0,0.8,4.000000000000001,True,Both No-Go
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,0.8807317743081708,13,,,,,,,,,,12.0,0.9230769230769231,12.000000000000009,True,Both Go
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,0.8807317743081708,3,,,,,,,,,,3.0,1.0,,True,Both No-Go
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,1.0971548207581594,11,,,,,,,,,,7.0,0.6363636363636364,1.75,True,Both Go
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,1.0971548207581594,8,,,,,,,,,,4.0,0.5,1.0,True,Both No-Go
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,1.2245599209511964,12,,,,,,,,,,6.0,0.5,1.0,True,Both Go
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,1.2245599209511964,4,,,,,,,,,,3.0,0.75,3.0,True,Both No-Go
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,1.3667597057667562,6,,,,,,,,,,2.0,0.3333333333333333,0.49999999999999994,True,Both Go
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,1.3667597057667562,9,,,,,,,,,,5.0,0.5555555555555556,1.2500000000000002,True,Both No-Go
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.7070000000000001,19,7.0,19.0,,0.3684210526315789,1.0,,False,13.0,0.6842105263157895,,,,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.769344846128565,19,6.0,19.0,,0.3157894736842105,1.0,,False,13.0,0.6842105263157895,,,,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.837187400657122,19,10.0,19.0,,0.5263157894736842,1.0,,False,13.0,0.6842105263157895,,,,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.9110124638462896,19,7.0,19.0,,0.3684210526315789,1.0,,False,15.0,0.7894736842105263,,,,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.07876684098121,37,9.0,0.0,,0.24324324324324326,0.0,,False,28.0,0.7567567567567568,,,,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.1738949211927685,38,3.0,0.0,,0.07894736842105263,0.0,,False,26.0,0.6842105263157895,,,,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.27741160893374,38,5.0,0.0,,0.13157894736842105,0.0,,False,27.0,0.7105263157894737,,,,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.390056630435602,37,0.0,0.0,,0.0,0.0,,False,29.0,0.7837837837837838,,,,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.64602248543222,19,7.0,19.0,,0.3684210526315789,1.0,,False,13.0,0.6842105263157895,,,,,
