animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,stimulus,n_trials,cohen_mouse_acx,p_agree_mouse_acx,cohen_mouse_ofc,p_agree_mouse_ofc,cohen_acx_ofc,p_agree_acx_ofc,cohen_gt_acx,p_agree_gt_acx,cohen_gt_ofc,p_agree_gt_ofc,cohen_gt_mouse,p_agree_gt_mouse,var_agree_acx_ofc,fleiss_mouse_acx_ofc,fleiss_mouse_acx_ofc_gt,trials,n_mouse_go,n_gt_go,n_acx_go,p_mouse_go,p_gt_go,p_acx_go,error_trials_only,n_ofc_go,p_ofc_go
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,1.07876684098121,,,,,,,,,,,,,,,,,9.0,9.0,0.0,7.0,1.0,0.0,0.7777777777777778,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,1.27741160893374,,,,,,,,,,,,,,,,,5.0,5.0,0.0,2.0,1.0,0.0,0.4,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,1.64602248543222,,,,,,,,,,,,,,,,,12.0,0.0,12.0,7.0,0.0,1.0,0.5833333333333334,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,1.7911724409886975,,,,,,,,,,,,,,,,,7.0,0.0,7.0,4.0,0.0,1.0,0.5714285714285714,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,1.9491220452647464,,,,,,,,,,,,,,,,,6.0,0.0,6.0,4.0,0.0,1.0,0.6666666666666666,True,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,0.7070000000000001,11.0,-0.1891891891891893,0.2727272727272727,0.15384615384615374,0.5454545454545454,0.06779661016949153,0.5454545454545454,0.0,0.6363636363636364,0.0,0.5454545454545454,0.0,0.09090909090909091,0.24793388429752067,-0.11654135338345885,-0.14245614035087756,,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,0.769344846128565,11.0,-0.1702127659574468,0.5454545454545454,-0.18461538461538463,0.36363636363636365,-0.06451612903225817,0.45454545454545453,0.0,0.36363636363636365,0.0,0.5454545454545454,0.0,0.09090909090909091,0.24793388429752064,-0.2272727272727275,-0.21212121212121215,,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,0.837187400657122,11.0,-0.1282051282051282,0.2727272727272727,-0.03125,0.45454545454545453,0.6206896551724139,0.8181818181818182,0.0,0.7272727272727273,0.0,0.5454545454545454,0.0,0.18181818181818182,0.14876033057851237,0.029411764705882058,-0.054466230936819286,,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,0.9110124638462896,12.0,0.18181818181818174,0.5,0.18181818181818174,0.5,0.24999999999999986,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.16666666666666666,0.22222222222222224,0.11111111111111094,-0.007407407407407618,,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,1.07876684098121,23.0,0.09667673716012079,0.43478260869565216,0.09667673716012079,0.43478260869565216,0.041666666666666574,0.5652173913043478,0.0,0.34782608695652173,0.0,0.34782608695652173,-1.2767564783189308e-15,0.9130434782608695,0.2457466918714556,-0.04898648648648638,-0.08611111111111104,,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,1.1738949211927685,22.0,-0.09316770186335416,0.2727272727272727,0.035087719298245654,0.3181818181818182,-0.19801980198019786,0.5,-8.141635513917815e-17,0.3181818181818182,0.0,0.2727272727272727,0.0,0.9545454545454546,0.25,-0.27389705882352966,-0.21130952380952378,,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,1.27741160893374,23.0,0.024937655860349146,0.2608695652173913,0.013544018058690708,0.17391304347826086,-0.1948051948051952,0.6521739130434783,3.5465457731081387e-17,0.21739130434782608,-3.1918911957973254e-17,0.13043478260869565,0.0,0.9565217391304348,0.22684310018903592,-0.2974358974358975,-0.23141428801806158,,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,1.390056630435602,22.0,0.027624309392265102,0.2727272727272727,0.10810810810810823,0.5909090909090909,-0.12598425196850382,0.4090909090909091,-3.591898020846095e-17,0.22727272727272727,0.0,0.5454545454545454,0.0,0.9545454545454546,0.24173553719008262,-0.1785714285714286,-0.1523809523809524,,,,,,,,,,
