animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,stimulus,trials,n_mouse_go,n_gt_go,n_ofc_go,p_mouse_go,p_gt_go,p_ofc_go,error_trials_only,n_trials,cohen_mouse_acx,p_agree_mouse_acx,cohen_mouse_ofc,p_agree_mouse_ofc,cohen_acx_ofc,p_agree_acx_ofc,cohen_gt_acx,p_agree_gt_acx,cohen_gt_ofc,p_agree_gt_ofc,cohen_gt_mouse,p_agree_gt_mouse,var_agree_acx_ofc,fleiss_mouse_acx_ofc,fleiss_mouse_acx_ofc_gt,n_acx_go,p_acx_go
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,0.7890990840419705,45.0,0.0,45.0,,0.0,1.0,,True,,,,,,,,,,,,,,,,,31.0,0.6888888888888889
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,0.8807317743081708,46.0,0.0,46.0,,0.0,1.0,,True,,,,,,,,,,,,,,,,,32.0,0.6956521739130435
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,1.2245599209511964,9.0,9.0,0.0,,1.0,0.0,,True,,,,,,,,,,,,,,,,,9.0,1.0
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,0.7070000000000001,,,,,,,,,69.0,-0.023560209424083767,0.5072463768115942,0.014285714285714547,0.6231884057971014,0.0025510204081633644,0.5072463768115942,0.0,0.5217391304347826,0.0,0.6376811594202898,0.0,0.927536231884058,0.2499474900231044,-0.07242063492063458,-0.07638423131380881,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,0.7890990840419705,,,,,,,,,66.0,0.004115226337448435,0.6666666666666666,0.04643962848297247,0.5757575757575758,-0.20461095100864551,0.42424242424242425,0.0,0.6818181818181818,0.0,0.5606060606060606,0.0,0.9545454545454546,0.24426078971533516,-0.13363695510735196,-0.10954126799606517,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,0.8807317743081708,,,,,,,,,66.0,0.10259579728059312,0.6666666666666666,-0.14215080346106304,0.5757575757575758,-0.13447927199191095,0.48484848484848486,0.0,0.6515151515151515,0.0,0.6515151515151515,0.0,0.9242424242424242,0.2497704315886134,-0.10924369747899128,-0.09362054681027322,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,1.0971548207581594,,,,,,,,,66.0,0.0,0.5,-0.12121212121212122,0.4393939393939394,0.09090909090909083,0.5454545454545454,0.0,0.5,0.0,0.5,0.0,0.12121212121212122,0.24793388429752067,-0.0789014821272884,-0.13548387096774195,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,1.2245599209511964,,,,,,,,,66.0,-0.018709073900841946,0.5,0.16651075771749302,0.5909090909090909,-0.04566635601118365,0.48484848484848486,-9.901989138548695e-17,0.4393939393939394,-9.901989138548695e-17,0.4393939393939394,9.641410477007938e-17,0.42424242424242425,0.2497704315886134,0.033845514950166286,-0.06484962406015046,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,1.3667597057667562,,,,,,,,,67.0,-0.10121107266435987,0.43283582089552236,0.005091217649554484,0.47761194029850745,-0.015617822691777666,0.5074626865671642,-9.787492453932302e-17,0.43283582089552236,0.0,0.3880597014925373,0.0,0.6119402985074627,0.24994430830920028,-0.05684523809523826,-0.10133411237705695,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.7070000000000001,19.0,7.0,19.0,,0.3684210526315789,1.0,,False,,,,,,,,,,,,,,,,,13.0,0.6842105263157895
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.769344846128565,19.0,6.0,19.0,,0.3157894736842105,1.0,,False,,,,,,,,,,,,,,,,,13.0,0.6842105263157895
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.837187400657122,19.0,10.0,19.0,,0.5263157894736842,1.0,,False,,,,,,,,,,,,,,,,,13.0,0.6842105263157895
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.9110124638462896,19.0,7.0,19.0,,0.3684210526315789,1.0,,False,,,,,,,,,,,,,,,,,15.0,0.7894736842105263
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.07876684098121,37.0,9.0,0.0,,0.24324324324324326,0.0,,False,,,,,,,,,,,,,,,,,28.0,0.7567567567567568
