animal,date,session_type,session_dprime,area,n_units,n_trials,n_folds,accuracy,precision,recall,roc_auc,accuracy_gt,precision_gt,recall_gt,roc_auc_gt,acx_beta,ofc_beta,beta_diff,beta_diff_ci_low,beta_diff_ci_high,histology_fallback
G4A4,27/3/2025,(Novice) 2b Categorization,,OFC,21,290,5,0.593103448275862,0.4583333333333333,0.5092592592592593,0.6108058608058607,0.5379310344827586,0.5384615384615384,0.5310344827586206,0.5205231866825208,0.10792167663755028,0.14876931843798918,-0.0408476418004389,-0.3825288457568823,0.2617367060438719,True
G4A5,7/4/2025,(1b Expert) 1b Categorization,,ACx,271,300,5,0.6166666666666667,0.7563451776649747,0.6898148148148148,0.5433201058201058,0.4766666666666667,0.4768211920529801,0.48,0.48488888888888887,-0.15631377731152687,0.18546459299389423,-0.34177837030542113,-0.7750720188797277,0.09377924107164555,True
G4A5,7/4/2025,(1b Expert) 1b Categorization,,OFC,40,300,5,0.7233333333333334,0.841025641025641,0.7592592592592593,0.7470238095238094,0.5033333333333333,0.5034013605442177,0.49333333333333335,0.5227555555555555,-0.15631377731152687,0.18546459299389423,-0.34177837030542113,-0.7750720188797277,0.09377924107164555,True
G4A5,7/4/2025,(1b Expert) 2b Categorization,,ACx,17,300,5,0.7133333333333334,0.02564102564102564,0.16666666666666666,0.5616319444444444,0.48333333333333334,0.48148148148148145,0.43333333333333335,0.4990666666666667,-0.15073433140275586,-0.1751678773150376,0.02443354591228175,-0.8523703215741243,0.8240189837286637,True
G4A5,7/4/2025,(1b Expert) 2b Categorization,,OFC,35,300,5,0.7533333333333333,0.05714285714285714,0.3333333333333333,0.5619212962962963,0.5933333333333334,0.5945945945945946,0.5866666666666667,0.5713777777777778,-0.15073433140275586,-0.1751678773150376,0.02443354591228175,-0.8523703215741243,0.8240189837286637,True
G4A5,9/4/2025,(2b Expert) 2b Categorization,,ACx,39,500,5,0.436,0.8469387755102041,0.39712918660287083,0.5119617224880383,0.474,0.47796610169491527,0.564,0.45796000000000003,,,,,,True
G4A6,7/4/2025,(1b Expert) 1b Categorization,,ACx,82,300,5,0.48333333333333334,0.6610169491525424,0.5518867924528302,0.4186856775300171,0.5466666666666666,0.5443037974683544,0.5733333333333334,0.5593777777777778,,,,,,True
G4A6,7/4/2025,(1b Expert) 2b Categorization,,ACx,53,300,5,0.5966666666666667,0.375,0.45161290322580644,0.5808529427042751,0.4766666666666667,0.47586206896551725,0.46,0.4919555555555556,,,,,,True
G4A6,9/4/2025,(2b Expert) 2b Categorization,,ACx,28,500,5,0.502,0.7513227513227513,0.4127906976744186,0.5500801282051282,0.514,0.5124555160142349,0.576,0.524056,,,,,,True
G5A1,16/7,(Novice) ?,,ACx,47,150,5,0.5933333333333334,0.1836734693877551,0.3,0.5183333333333334,0.5066666666666667,0.5063291139240507,0.5333333333333333,0.5015111111111111,0.01006533094428784,-0.5621124288957196,0.5721777598400074,0.043705655332241265,1.167593200194353,True
G5A1,16/7,(Novice) ?,,OFC,65,150,5,0.7533333333333333,0.40540540540540543,0.5,0.6988888888888889,0.6733333333333333,0.6857142857142857,0.64,0.7313777777777778,0.01006533094428784,-0.5621124288957196,0.5721777598400074,0.043705655332241265,1.167593200194353,True
G5A1,16/7,(Novice) 2b Categorization,,OFC,77,82,5,0.45121951219512196,0.3157894736842105,0.3870967741935484,0.4142947501581277,0.5,0.5,0.5853658536585366,0.4907792980368828,,,,,,True
G5A2,16/7,(Novice) 2b Categorization,,ACx,115,136,5,0.8970588235294118,0.0,0.0,0.4538461538461539,0.5808823529411765,0.6119402985074627,0.5694444444444444,0.6174045138888888,-0.327794062443609,0.24395120395065592,-0.5717452663942649,-3.2300177689487817,2.7550869317442856,True
G5A2,16/7,(Novice) 2b Categorization,,OFC,311,136,5,0.9191176470588235,0.14285714285714285,0.16666666666666666,0.717948717948718,0.4485294117647059,0.47692307692307695,0.4305555555555556,0.42947048611111105,-0.327794062443609,0.24395120395065592,-0.5717452663942649,-3.2300177689487817,2.7550869317442856,True
G5A3,17/7,(Novice) 2b Categorization,,ACx,76,299,5,0.5183946488294314,0.3357664233576642,0.46464646464646464,0.5660606060606059,0.5652173913043478,0.5632911392405063,0.5933333333333334,0.5827740492170023,0.20964086518107605,-0.059988269130001284,0.2696291343110773,-0.04817217291362332,0.6691050415020423,False
