animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,stimulus,trials,n_mouse_go,n_gt_go,n_ofc_go,p_mouse_go,p_gt_go,p_ofc_go,error_trials_only,condition,acx_pred,ofc_pred,n_condition,n_mouse_nogo,p_mouse_nogo,n_gt_nogo,p_gt_nogo,n_acx_go,p_acx_go
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.390056630435602,62.0,42.0,0.0,,0.6774193548387096,0.0,,False,,,,,,,,,41.0,0.6612903225806451
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.64602248543222,31.0,22.0,31.0,,0.7096774193548387,1.0,,False,,,,,,,,,12.0,0.3870967741935484
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.7911724409886975,31.0,28.0,31.0,,0.9032258064516129,1.0,,False,,,,,,,,,22.0,0.7096774193548387
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.9491220452647464,31.0,29.0,31.0,,0.9354838709677419,1.0,,False,,,,,,,,,14.0,0.45161290322580644
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,2.121,31.0,28.0,31.0,,0.9032258064516129,1.0,,False,,,,,,,,,20.0,0.6451612903225806
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,0.7070000000000001,15.0,0.0,15.0,,0.0,1.0,,True,,,,,,,,,10.0,0.6666666666666666
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,0.769344846128565,12.0,0.0,12.0,,0.0,1.0,,True,,,,,,,,,10.0,0.8333333333333334
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,0.837187400657122,12.0,0.0,12.0,,0.0,1.0,,True,,,,,,,,,7.0,0.5833333333333334
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,0.9110124638462896,15.0,0.0,15.0,,0.0,1.0,,True,,,,,,,,,9.0,0.6
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.07876684098121,42.0,42.0,0.0,,1.0,0.0,,True,,,,,,,,,26.0,0.6190476190476191
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.1738949211927685,42.0,42.0,0.0,,1.0,0.0,,True,,,,,,,,,25.0,0.5952380952380952
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.27741160893374,39.0,39.0,0.0,,1.0,0.0,,True,,,,,,,,,23.0,0.5897435897435898
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.390056630435602,42.0,42.0,0.0,,1.0,0.0,,True,,,,,,,,,26.0,0.6190476190476191
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,1.64602248543222,9.0,0.0,9.0,,0.0,1.0,,True,,,,,,,,,3.0,0.3333333333333333
G5A1,16/7,(Novice) 1b Categorization,,,True,,,7.0,31.0,,0.14285714285714285,0.6326530612244898,,,"ACx=Go, OFC=Go",1.0,1.0,49.0,42.0,0.8571428571428571,18.0,0.3673469387755102,,
G5A1,16/7,(Novice) 1b Categorization,,,True,,,5.0,9.0,,0.17857142857142858,0.32142857142857145,,,"ACx=Go, OFC=No-Go",1.0,0.0,28.0,23.0,0.8214285714285714,19.0,0.6785714285714286,,
G5A1,16/7,(Novice) 1b Categorization,,,True,,,7.0,18.0,,0.20588235294117646,0.5294117647058824,,,"ACx=No-Go, OFC=Go",0.0,1.0,34.0,27.0,0.7941176470588235,16.0,0.47058823529411764,,
G5A1,16/7,(Novice) 1b Categorization,,,True,,,11.0,17.0,,0.28205128205128205,0.4358974358974359,,,"ACx=No-Go, OFC=No-Go",0.0,0.0,39.0,28.0,0.717948717948718,22.0,0.5641025641025641,,
G4A4,27/3/2025,(Novice) 1b Categorization,,,True,,,39.0,39.0,,0.5131578947368421,0.5131578947368421,,,"ACx=Go, OFC=Go",1.0,1.0,76.0,37.0,0.4868421052631579,37.0,0.4868421052631579,,
G4A4,27/3/2025,(Novice) 1b Categorization,,,True,,,28.0,24.0,,0.5714285714285714,0.4897959183673469,,,"ACx=Go, OFC=No-Go",1.0,0.0,49.0,21.0,0.42857142857142855,25.0,0.5102040816326531,,
G4A4,27/3/2025,(Novice) 1b Categorization,,,True,,,22.0,22.0,,0.55,0.55,,,"ACx=No-Go, OFC=Go",0.0,1.0,40.0,18.0,0.45,18.0,0.45,,
G4A4,27/3/2025,(Novice) 1b Categorization,,,True,,,15.0,18.0,,0.38461538461538464,0.46153846153846156,,,"ACx=No-Go, OFC=No-Go",0.0,0.0,39.0,24.0,0.6153846153846154,21.0,0.5384615384615384,,
G4A4,27/3/2025,(Novice) 2b Categorization,,,True,,,48.0,47.0,,0.43636363636363634,0.42727272727272725,,,"ACx=Go, OFC=Go",1.0,1.0,110.0,62.0,0.5636363636363636,63.0,0.5727272727272728,,
G4A4,27/3/2025,(Novice) 2b Categorization,,,True,,,17.0,32.0,,0.2537313432835821,0.47761194029850745,,,"ACx=Go, OFC=No-Go",1.0,0.0,67.0,50.0,0.746268656716418,35.0,0.5223880597014925,,
G4A4,27/3/2025,(Novice) 2b Categorization,,,True,,,23.0,42.0,,0.3108108108108108,0.5675675675675675,,,"ACx=No-Go, OFC=Go",0.0,1.0,74.0,51.0,0.6891891891891891,32.0,0.43243243243243246,,
G4A4,27/3/2025,(Novice) 2b Categorization,,,True,,,20.0,24.0,,0.5128205128205128,0.6153846153846154,,,"ACx=No-Go, OFC=No-Go",0.0,0.0,39.0,19.0,0.48717948717948717,15.0,0.38461538461538464,,
G5A1,16/7,(Novice) 2b Categorization,,,True,1.07876684098121,10.0,1.0,0.0,7.0,0.1,0.0,0.7,False,,,,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,True,1.1738949211927685,10.0,5.0,0.0,6.0,0.5,0.0,0.6,False,,,,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,True,1.27741160893374,11.0,5.0,0.0,8.0,0.45454545454545453,0.0,0.7272727272727273,False,,,,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,True,1.390056630435602,10.0,3.0,0.0,7.0,0.3,0.0,0.7,False,,,,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,True,1.64602248543222,10.0,5.0,10.0,4.0,0.5,1.0,0.4,False,,,,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,True,1.7911724409886975,11.0,6.0,11.0,6.0,0.5454545454545454,1.0,0.5454545454545454,False,,,,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,True,1.9491220452647464,10.0,4.0,10.0,6.0,0.4,1.0,0.6,False,,,,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,True,2.121,10.0,2.0,10.0,7.0,0.2,1.0,0.7,False,,,,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,True,1.1738949211927685,5.0,5.0,0.0,3.0,1.0,0.0,0.6,True,,,,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,True,1.27741160893374,5.0,5.0,0.0,3.0,1.0,0.0,0.6,True,,,,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,True,1.64602248543222,5.0,0.0,5.0,3.0,0.0,1.0,0.6,True,,,,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,True,1.7911724409886975,5.0,0.0,5.0,4.0,0.0,1.0,0.8,True,,,,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,True,1.9491220452647464,6.0,0.0,6.0,3.0,0.0,1.0,0.5,True,,,,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,True,2.121,8.0,0.0,8.0,5.0,0.0,1.0,0.625,True,,,,,,,,,,
G5A3,17/7,(Novice) 2b Categorization,,,False,,,31.0,58.0,,0.27927927927927926,0.5225225225225225,,,"ACx=Go, OFC=Go",1.0,1.0,111.0,80.0,0.7207207207207207,53.0,0.4774774774774775,,
G5A3,17/7,(Novice) 2b Categorization,,,False,,,30.0,37.0,,0.3488372093023256,0.43023255813953487,,,"ACx=Go, OFC=No-Go",1.0,0.0,86.0,56.0,0.6511627906976745,49.0,0.5697674418604651,,
G5A3,17/7,(Novice) 2b Categorization,,,False,,,29.0,44.0,,0.3625,0.55,,,"ACx=No-Go, OFC=Go",0.0,1.0,80.0,51.0,0.6375,36.0,0.45,,
G5A3,17/7,(Novice) 2b Categorization,,,False,,,9.0,11.0,,0.4090909090909091,0.5,,,"ACx=No-Go, OFC=No-Go",0.0,0.0,22.0,13.0,0.5909090909090909,11.0,0.5,,
G7A2,28/10/2025,(Novice) 2b Categorization,,,False,,,46.0,70.0,,0.4791666666666667,0.7291666666666666,,,"ACx=Go, OFC=Go",1.0,1.0,96.0,50.0,0.5208333333333334,26.0,0.2708333333333333,,
G7A2,28/10/2025,(Novice) 2b Categorization,,,False,,,35.0,52.0,,0.44871794871794873,0.6666666666666666,,,"ACx=Go, OFC=No-Go",1.0,0.0,78.0,43.0,0.5512820512820513,26.0,0.3333333333333333,,
G7A2,28/10/2025,(Novice) 2b Categorization,,,False,,,35.0,31.0,,0.3211009174311927,0.28440366972477066,,,"ACx=No-Go, OFC=Go",0.0,1.0,109.0,74.0,0.6788990825688074,78.0,0.7155963302752294,,
G7A2,28/10/2025,(Novice) 2b Categorization,,,False,,,19.0,22.0,,0.2835820895522388,0.3283582089552239,,,"ACx=No-Go, OFC=No-Go",0.0,0.0,67.0,48.0,0.7164179104477612,45.0,0.6716417910447762,,
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,0.7070000000000001,30.0,14.0,30.0,19.0,0.4666666666666667,1.0,0.6333333333333333,False,,,,,,,,,,
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,0.7890990840419705,29.0,13.0,29.0,19.0,0.4482758620689655,1.0,0.6551724137931034,False,,,,,,,,,,
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,0.8807317743081708,29.0,14.0,29.0,13.0,0.4827586206896552,1.0,0.4482758620689655,False,,,,,,,,,,
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,1.2245599209511964,58.0,26.0,0.0,39.0,0.4482758620689655,0.0,0.6724137931034483,False,,,,,,,,,,
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,1.3667597057667562,59.0,28.0,0.0,36.0,0.4745762711864407,0.0,0.6101694915254238,False,,,,,,,,,,
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,1.5254721809420373,58.0,26.0,0.0,40.0,0.4482758620689655,0.0,0.6896551724137931,False,,,,,,,,,,
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,1.7026148524934492,29.0,10.0,29.0,20.0,0.3448275862068966,1.0,0.6896551724137931,False,,,,,,,,,,
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,1.9003278933222565,29.0,14.0,29.0,18.0,0.4827586206896552,1.0,0.6206896551724138,False,,,,,,,,,,
G7A3,28/10/2025,(Novice) 2b Categorization,,,False,2.121,29.0,15.0,29.0,16.0,0.5172413793103449,1.0,0.5517241379310345,False,,,,,,,,,,
