animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,stimulus,trials,n_mouse_go,n_gt_go,n_ofc_go,p_mouse_go,p_gt_go,p_ofc_go,error_trials_only,agreement_state,n_trials,n_behavior_match,p_behavior_match,odds_behavior_match,n_acx_go,p_acx_go
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.1738949211927685,14.0,2.0,0.0,,0.14285714285714285,0.0,,False,,,,,,3.0,0.21428571428571427
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.27741160893374,14.0,4.0,0.0,,0.2857142857142857,0.0,,False,,,,,,3.0,0.21428571428571427
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.390056630435602,14.0,0.0,0.0,,0.0,0.0,,False,,,,,,2.0,0.14285714285714285
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.64602248543222,14.0,5.0,14.0,,0.35714285714285715,1.0,,False,,,,,,9.0,0.6428571428571429
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.7911724409886975,14.0,11.0,14.0,,0.7857142857142857,1.0,,False,,,,,,12.0,0.8571428571428571
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.9491220452647464,14.0,12.0,14.0,,0.8571428571428571,1.0,,False,,,,,,11.0,0.7857142857142857
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,2.121,14.0,11.0,14.0,,0.7857142857142857,1.0,,False,,,,,,13.0,0.9285714285714286
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,7.0,7.0,0.0,,1.0,0.0,,True,,,,,,3.0,0.42857142857142855
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.64602248543222,9.0,0.0,9.0,,0.0,1.0,,True,,,,,,4.0,0.4444444444444444
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,0.7070000000000001,53.0,14.0,53.0,,0.2641509433962264,1.0,,False,,,,,,32.0,0.6037735849056604
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,0.7890990840419705,53.0,8.0,53.0,,0.1509433962264151,1.0,,False,,,,,,35.0,0.660377358490566
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,0.8807317743081708,52.0,6.0,52.0,,0.11538461538461539,1.0,,False,,,,,,35.0,0.6730769230769231
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,1.2245599209511964,55.0,9.0,0.0,,0.16363636363636364,0.0,,False,,,,,,43.0,0.7818181818181819
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,1.3667597057667562,55.0,2.0,0.0,,0.03636363636363636,0.0,,False,,,,,,37.0,0.6727272727272727
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,1.5254721809420373,54.0,2.0,0.0,,0.037037037037037035,0.0,,False,,,,,,42.0,0.7777777777777778
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,0.7070000000000001,39.0,0.0,39.0,,0.0,1.0,,True,,,,,,26.0,0.6666666666666666
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,0.7890990840419705,45.0,0.0,45.0,,0.0,1.0,,True,,,,,,31.0,0.6888888888888889
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,0.8807317743081708,46.0,0.0,46.0,,0.0,1.0,,True,,,,,,32.0,0.6956521739130435
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,1.2245599209511964,9.0,9.0,0.0,,1.0,0.0,,True,,,,,,9.0,1.0
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,All trials,400.0,218.0,0.545,1.197802197802198,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,Models agree (pooled),197.0,117.0,0.5939086294416244,1.4625000000000001,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,Both Go,132.0,102.0,0.7727272727272727,3.3999999999999995,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,Both No-Go,65.0,15.0,0.23076923076923078,0.30000000000000004,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,Models disagree,203.0,101.0,0.4975369458128079,0.9901960784313725,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.7070000000000001,19.0,7.0,19.0,,0.3684210526315789,1.0,,False,,,,,,13.0,0.6842105263157895
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.769344846128565,19.0,6.0,19.0,,0.3157894736842105,1.0,,False,,,,,,13.0,0.6842105263157895
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.837187400657122,19.0,10.0,19.0,,0.5263157894736842,1.0,,False,,,,,,13.0,0.6842105263157895
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.9110124638462896,19.0,7.0,19.0,,0.3684210526315789,1.0,,False,,,,,,15.0,0.7894736842105263
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.07876684098121,37.0,9.0,0.0,,0.24324324324324326,0.0,,False,,,,,,28.0,0.7567567567567568
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.1738949211927685,38.0,3.0,0.0,,0.07894736842105263,0.0,,False,,,,,,26.0,0.6842105263157895
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.27741160893374,38.0,5.0,0.0,,0.13157894736842105,0.0,,False,,,,,,27.0,0.7105263157894737
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.390056630435602,37.0,0.0,0.0,,0.0,0.0,,False,,,,,,29.0,0.7837837837837838
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.64602248543222,19.0,7.0,19.0,,0.3684210526315789,1.0,,False,,,,,,13.0,0.6842105263157895
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.7911724409886975,19.0,12.0,19.0,,0.631578947368421,1.0,,False,,,,,,11.0,0.5789473684210527
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.9491220452647464,18.0,12.0,18.0,,0.6666666666666666,1.0,,False,,,,,,13.0,0.7222222222222222
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,2.121,18.0,15.0,18.0,,0.8333333333333334,1.0,,False,,,,,,12.0,0.6666666666666666
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.7070000000000001,12.0,0.0,12.0,,0.0,1.0,,True,,,,,,7.0,0.5833333333333334
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.769344846128565,13.0,0.0,13.0,,0.0,1.0,,True,,,,,,7.0,0.5384615384615384
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.837187400657122,9.0,0.0,9.0,,0.0,1.0,,True,,,,,,6.0,0.6666666666666666
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.9110124638462896,12.0,0.0,12.0,,0.0,1.0,,True,,,,,,10.0,0.8333333333333334
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.07876684098121,9.0,9.0,0.0,,1.0,0.0,,True,,,,,,7.0,0.7777777777777778
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.27741160893374,5.0,5.0,0.0,,1.0,0.0,,True,,,,,,2.0,0.4
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.64602248543222,12.0,0.0,12.0,,0.0,1.0,,True,,,,,,7.0,0.5833333333333334
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.7911724409886975,7.0,0.0,7.0,,0.0,1.0,,True,,,,,,4.0,0.5714285714285714
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.9491220452647464,6.0,0.0,6.0,,0.0,1.0,,True,,,,,,4.0,0.6666666666666666
