animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,expression,n_condition,n_go,n_nogo,p_go,p_nogo
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,True,P(Mouse=Go | OFC=No-Go),134,96,38,0.7164179104477612,0.28358208955223885
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,True,P(Mouse=Go | OFC=Go),200,148,52,0.74,0.26
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,True,P(GroundTruth=Go | OFC=No-Go),134,68,66,0.5074626865671642,0.4925373134328358
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,True,P(GroundTruth=Go | OFC=Go),200,98,102,0.49,0.51
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,P(Mouse=Go | ACx=No-Go),250,213,37,0.852,0.14800000000000002
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,P(Mouse=Go | ACx=Go),250,205,45,0.82,0.18000000000000005
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,P(GroundTruth=Go | ACx=No-Go),250,125,125,0.5,0.5
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,P(GroundTruth=Go | ACx=Go),250,125,125,0.5,0.5
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,P(Mouse=Go | ACx=No-Go),195,144,51,0.7384615384615385,0.2615384615384615
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,P(Mouse=Go | ACx=Go),305,200,105,0.6557377049180327,0.34426229508196726
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,P(GroundTruth=Go | ACx=No-Go),195,106,89,0.5435897435897435,0.45641025641025645
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,True,P(GroundTruth=Go | ACx=Go),305,144,161,0.4721311475409836,0.5278688524590164
G5A1,16/7,(Novice) 1b Categorization,,,True,P(Mouse=Go | ACx=No-Go),73,18,55,0.2465753424657534,0.7534246575342466
G5A1,16/7,(Novice) 1b Categorization,,,True,P(Mouse=Go | ACx=Go),77,12,65,0.15584415584415584,0.8441558441558441
G5A1,16/7,(Novice) 1b Categorization,,,True,P(GroundTruth=Go | ACx=No-Go),73,35,38,0.4794520547945205,0.5205479452054795
G5A1,16/7,(Novice) 1b Categorization,,,True,P(GroundTruth=Go | ACx=Go),77,40,37,0.5194805194805194,0.48051948051948057
G5A1,16/7,(Novice) 1b Categorization,,,True,P(Mouse=Go | OFC=No-Go),67,16,51,0.23880597014925373,0.7611940298507462
G5A1,16/7,(Novice) 1b Categorization,,,True,P(Mouse=Go | OFC=Go),83,14,69,0.1686746987951807,0.8313253012048193
G5A1,16/7,(Novice) 1b Categorization,,,True,P(GroundTruth=Go | OFC=No-Go),67,26,41,0.3880597014925373,0.6119402985074627
G5A1,16/7,(Novice) 1b Categorization,,,True,P(GroundTruth=Go | OFC=Go),83,49,34,0.5903614457831325,0.40963855421686746
G4A4,27/3/2025,(Novice) 1b Categorization,,,True,P(Mouse=Go | ACx=No-Go),79,37,42,0.46835443037974683,0.5316455696202531
G4A4,27/3/2025,(Novice) 1b Categorization,,,True,P(Mouse=Go | ACx=Go),125,67,58,0.536,0.46399999999999997
G4A4,27/3/2025,(Novice) 1b Categorization,,,True,P(GroundTruth=Go | ACx=No-Go),79,40,39,0.5063291139240507,0.49367088607594933
G4A4,27/3/2025,(Novice) 1b Categorization,,,True,P(GroundTruth=Go | ACx=Go),125,63,62,0.504,0.496
G4A4,27/3/2025,(Novice) 1b Categorization,,,True,P(Mouse=Go | OFC=No-Go),88,43,45,0.48863636363636365,0.5113636363636364
G4A4,27/3/2025,(Novice) 1b Categorization,,,True,P(Mouse=Go | OFC=Go),116,61,55,0.5258620689655172,0.47413793103448276
G4A4,27/3/2025,(Novice) 1b Categorization,,,True,P(GroundTruth=Go | OFC=No-Go),88,42,46,0.4772727272727273,0.5227272727272727
G4A4,27/3/2025,(Novice) 1b Categorization,,,True,P(GroundTruth=Go | OFC=Go),116,61,55,0.5258620689655172,0.47413793103448276
G4A4,27/3/2025,(Novice) 2b Categorization,,,True,P(Mouse=Go | ACx=No-Go),113,43,70,0.3805309734513274,0.6194690265486726
