animal,date,session_type,session_dprime,session_hit_rate,area,n_units,n_trials,n_folds,accuracy,precision,recall,roc_auc,accuracy_gt,precision_gt,recall_gt,roc_auc_gt,acx_beta,ofc_beta,beta_diff,beta_diff_ci_low,beta_diff_ci_high,histology_fallback
G4A4,27/3/2025,(Novice) 1b Categorization,,,OFC,16,204,5,0.6323529411764706,0.6306306306306306,0.6730769230769231,0.6544230769230769,0.5245098039215687,0.5258620689655172,0.5922330097087378,0.551571662020571,0.04208928523782421,-0.053765219596590516,0.09585450483441472,-0.25541464880377185,0.49361125883389717,False
G4A4,27/3/2025,(Novice) 2b Categorization,,,ACx,158,290,5,0.7551724137931034,0.7126436781609196,0.5740740740740741,0.8022995522995523,0.43448275862068964,0.4463276836158192,0.5448275862068965,0.42756242568370983,2.2987523348432003e-05,0.13168683544881604,-0.13166384792546762,-0.46792707367073505,0.15853130883487002,False
G4A4,27/3/2025,(Novice) 2b Categorization,,,OFC,21,290,5,0.593103448275862,0.2727272727272727,0.05555555555555555,0.5714285714285714,0.4793103448275862,0.483695652173913,0.6137931034482759,0.4493697978596908,2.2987523348432003e-05,0.13168683544881604,-0.13166384792546762,-0.46792707367073505,0.15853130883487002,False
G5A1,16/7,(Novice) 2b Categorization,,,OFC,77,82,5,0.5975609756097561,0.3333333333333333,0.06451612903225806,0.39089184060721055,0.43902439024390244,0.45098039215686275,0.5609756097560976,0.4289113622843545,,,,,,False
G5A3,17/7,(Novice) 2b Categorization,,,ACx,104,299,5,0.6822742474916388,0.5909090909090909,0.13131313131313133,0.6448737373737373,0.4782608695652174,0.484375,0.62,0.4538255033557047,-0.006583878962170473,-0.1421053876425171,0.13552150868034663,-0.18063931564296762,0.5040096616908185,False
G5A3,17/7,(Novice) 2b Categorization,,,OFC,129,299,5,0.6521739130434783,0.14285714285714285,0.010101010101010102,0.5688383838383838,0.46488294314381273,0.4722222222222222,0.5666666666666667,0.4678970917225951,-0.006583878962170473,-0.1421053876425171,0.13552150868034663,-0.18063931564296762,0.5040096616908185,False
G7A2,28/10/2025,(Novice) 2b Categorization,,,ACx,783,350,5,0.7228571428571429,0.6979166666666666,0.4962962962962963,0.7558311800172266,0.66,0.6666666666666666,0.64,0.7248979591836735,0.3021442490264121,0.048886545125750455,0.25325770390066166,-0.09551752679933939,0.5845519217485392,False
G7A2,28/10/2025,(Novice) 2b Categorization,,,OFC,47,350,5,0.6114285714285714,0.4,0.014814814814814815,0.4688372093023256,0.52,0.515695067264574,0.6571428571428571,0.5090775510204082,0.3021442490264121,0.048886545125750455,0.25325770390066166,-0.09551752679933939,0.5845519217485392,False
G7A3,28/10/2025,(Novice) 2b Categorization,,,OFC,332,350,5,0.82,0.7975460122699386,0.8125,0.8790131578947369,0.49142857142857144,0.49246231155778897,0.56,0.4872163265306123,,,,,,False
G7A1,28/10/2025,(Novice) FRA,,,ACx,20,350,5,0.7542857142857143,0.0,0.0,0.44886363636363635,0.4542857142857143,0.45294117647058824,0.44,0.4451428571428572,0.05211091908136105,0.17058896300600457,-0.11847804392464352,-0.42379443086971225,0.22275183963525186,False
G7A1,28/10/2025,(Novice) FRA,,,OFC,260,350,5,0.7542857142857143,0.0,0.0,0.49167547568710357,0.5028571428571429,0.5028248587570622,0.5085714285714286,0.5059918367346938,0.05211091908136105,0.17058896300600457,-0.11847804392464352,-0.42379443086971225,0.22275183963525186,False
