animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,condition,acx_pred,ofc_pred,n_condition,n_mouse_go,n_mouse_nogo,p_mouse_go,p_mouse_nogo,n_gt_go,n_gt_nogo,p_gt_go,p_gt_nogo,stimulus,trials,n_acx_go,p_acx_go,error_trials_only,n_ofc_go,p_ofc_go
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,"ACx=No-Go, OFC=Go",0.0,1.0,103.0,80.0,23.0,0.7766990291262136,0.22330097087378642,53.0,50.0,0.5145631067961165,0.4854368932038835,,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,"ACx=No-Go, OFC=No-Go",0.0,0.0,65.0,50.0,15.0,0.7692307692307693,0.23076923076923078,24.0,41.0,0.36923076923076925,0.6307692307692307,,,,,,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,7.0,,0.3684210526315789,,19.0,,1.0,,0.7070000000000001,19.0,13.0,0.6842105263157895,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,6.0,,0.3157894736842105,,19.0,,1.0,,0.769344846128565,19.0,13.0,0.6842105263157895,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,10.0,,0.5263157894736842,,19.0,,1.0,,0.837187400657122,19.0,13.0,0.6842105263157895,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,7.0,,0.3684210526315789,,19.0,,1.0,,0.9110124638462896,19.0,15.0,0.7894736842105263,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,9.0,,0.24324324324324326,,0.0,,0.0,,1.07876684098121,37.0,28.0,0.7567567567567568,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,3.0,,0.07894736842105263,,0.0,,0.0,,1.1738949211927685,38.0,26.0,0.6842105263157895,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,5.0,,0.13157894736842105,,0.0,,0.0,,1.27741160893374,38.0,27.0,0.7105263157894737,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,,,,,0.0,,0.0,,0.0,,0.0,,1.390056630435602,37.0,29.0,0.7837837837837838,False,,
