animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,agreement_state,n_trials,n_behavior_match,p_behavior_match,odds_behavior_match,stimulus,trials,n_mouse_go,n_gt_go,n_acx_go,p_mouse_go,p_gt_go,p_acx_go,error_trials_only,n_ofc_go,p_ofc_go
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,0.769344846128565,32.0,30.0,32.0,20.0,0.9375,1.0,0.625,False,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,0.837187400657122,31.0,29.0,31.0,16.0,0.9354838709677419,1.0,0.5161290322580645,False,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,0.9110124638462896,31.0,28.0,31.0,15.0,0.9032258064516129,1.0,0.4838709677419355,False,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,1.07876684098121,62.0,54.0,0.0,25.0,0.8709677419354839,0.0,0.4032258064516129,False,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,1.1738949211927685,63.0,53.0,0.0,35.0,0.8412698412698413,0.0,0.5555555555555556,False,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,1.27741160893374,63.0,43.0,0.0,34.0,0.6825396825396826,0.0,0.5396825396825397,False,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,1.390056630435602,62.0,35.0,0.0,31.0,0.5645161290322581,0.0,0.5,False,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,1.64602248543222,31.0,27.0,31.0,11.0,0.8709677419354839,1.0,0.3548387096774194,False,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,1.7911724409886975,31.0,30.0,31.0,10.0,0.967741935483871,1.0,0.3225806451612903,False,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,1.9491220452647464,31.0,29.0,31.0,20.0,0.9354838709677419,1.0,0.6451612903225806,False,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,2.121,31.0,29.0,31.0,21.0,0.9354838709677419,1.0,0.6774193548387096,False,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,1.07876684098121,54.0,54.0,0.0,20.0,1.0,0.0,0.37037037037037035,True,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,1.1738949211927685,53.0,53.0,0.0,26.0,1.0,0.0,0.49056603773584906,True,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,1.27741160893374,43.0,43.0,0.0,23.0,1.0,0.0,0.5348837209302325,True,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,1.390056630435602,35.0,35.0,0.0,19.0,1.0,0.0,0.5428571428571428,True,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,0.7070000000000001,32.0,17.0,32.0,17.0,0.53125,1.0,0.53125,False,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,0.769344846128565,32.0,20.0,32.0,22.0,0.625,1.0,0.6875,False,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,0.837187400657122,31.0,19.0,31.0,19.0,0.6129032258064516,1.0,0.6129032258064516,False,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,0.9110124638462896,31.0,16.0,31.0,18.0,0.5161290322580645,1.0,0.5806451612903226,False,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,1.07876684098121,62.0,42.0,0.0,39.0,0.6774193548387096,0.0,0.6290322580645161,False,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,1.1738949211927685,63.0,42.0,0.0,41.0,0.6666666666666666,0.0,0.6507936507936508,False,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,1.27741160893374,63.0,39.0,0.0,40.0,0.6190476190476191,0.0,0.6349206349206349,False,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,1.390056630435602,62.0,42.0,0.0,41.0,0.6774193548387096,0.0,0.6612903225806451,False,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,1.64602248543222,31.0,22.0,31.0,12.0,0.7096774193548387,1.0,0.3870967741935484,False,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,1.7911724409886975,31.0,28.0,31.0,22.0,0.9032258064516129,1.0,0.7096774193548387,False,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,1.9491220452647464,31.0,29.0,31.0,14.0,0.9354838709677419,1.0,0.45161290322580644,False,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,2.121,31.0,28.0,31.0,20.0,0.9032258064516129,1.0,0.6451612903225806,False,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,0.7070000000000001,15.0,0.0,15.0,10.0,0.0,1.0,0.6666666666666666,True,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,0.769344846128565,12.0,0.0,12.0,10.0,0.0,1.0,0.8333333333333334,True,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,0.837187400657122,12.0,0.0,12.0,7.0,0.0,1.0,0.5833333333333334,True,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,0.9110124638462896,15.0,0.0,15.0,9.0,0.0,1.0,0.6,True,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,1.07876684098121,42.0,42.0,0.0,26.0,1.0,0.0,0.6190476190476191,True,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,1.1738949211927685,42.0,42.0,0.0,25.0,1.0,0.0,0.5952380952380952,True,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,1.27741160893374,39.0,39.0,0.0,23.0,1.0,0.0,0.5897435897435898,True,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,1.390056630435602,42.0,42.0,0.0,26.0,1.0,0.0,0.6190476190476191,True,,
G4A6,9/4/2025,(2b Expert) 2b Categorization,,,False,,,,,,1.64602248543222,9.0,0.0,9.0,3.0,0.0,1.0,0.3333333333333333,True,,
G5A1,16/7,(Novice) 1b Categorization,,,False,All trials,150.0,67.0,0.44666666666666666,0.8072289156626505,,,,,,,,,,,
G5A1,16/7,(Novice) 1b Categorization,,,False,Models agree (pooled),88.0,35.0,0.3977272727272727,0.660377358490566,,,,,,,,,,,
G5A1,16/7,(Novice) 1b Categorization,,,False,Both Go,49.0,7.0,0.14285714285714285,0.16666666666666666,,,,,,,,,,,
G5A1,16/7,(Novice) 1b Categorization,,,False,Both No-Go,39.0,28.0,0.717948717948718,2.5454545454545454,,,,,,,,,,,
G5A1,16/7,(Novice) 1b Categorization,,,False,Models disagree,62.0,32.0,0.5161290322580645,1.0666666666666667,,,,,,,,,,,
G4A4,27/3/2025,(Novice) 1b Categorization,,,False,All trials,204.0,109.0,0.5343137254901961,1.1473684210526316,,,,,,,,,,,
G4A4,27/3/2025,(Novice) 1b Categorization,,,False,Models agree (pooled),115.0,63.0,0.5478260869565217,1.2115384615384612,,,,,,,,,,,
G4A4,27/3/2025,(Novice) 1b Categorization,,,False,Both Go,76.0,39.0,0.5131578947368421,1.0540540540540542,,,,,,,,,,,
G4A4,27/3/2025,(Novice) 1b Categorization,,,False,Both No-Go,39.0,24.0,0.6153846153846154,1.6000000000000003,,,,,,,,,,,
G4A4,27/3/2025,(Novice) 1b Categorization,,,False,Models disagree,89.0,46.0,0.5168539325842697,1.0697674418604652,,,,,,,,,,,
G4A4,27/3/2025,(Novice) 2b Categorization,,,False,All trials,290.0,135.0,0.46551724137931033,0.8709677419354838,,,,,,,,,,,
G4A4,27/3/2025,(Novice) 2b Categorization,,,False,Models agree (pooled),149.0,67.0,0.44966442953020136,0.8170731707317074,,,,,,,,,,,
G4A4,27/3/2025,(Novice) 2b Categorization,,,False,Both Go,110.0,48.0,0.43636363636363634,0.7741935483870966,,,,,,,,,,,
G4A4,27/3/2025,(Novice) 2b Categorization,,,False,Both No-Go,39.0,19.0,0.48717948717948717,0.9500000000000001,,,,,,,,,,,
G4A4,27/3/2025,(Novice) 2b Categorization,,,False,Models disagree,141.0,68.0,0.48226950354609927,0.9315068493150686,,,,,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,1.07876684098121,10.0,1.0,0.0,,0.1,0.0,,False,7.0,0.7
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,1.1738949211927685,10.0,5.0,0.0,,0.5,0.0,,False,6.0,0.6
