animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,stimulus,trials,n_behavior_match,area,p_behavior_match,odds_behavior_match,models_disagree_only,n_mouse_go,n_gt_go,n_acx_go,p_mouse_go,p_gt_go,p_acx_go,error_trials_only,n_ofc_go,p_ofc_go
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,1.0971548207581594,30,17.0,ACx,0.5666666666666667,1.3076923076923077,True,,,,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,1.2245599209511964,34,14.0,ACx,0.4117647058823529,0.7,True,,,,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,1.3667597057667562,33,15.0,ACx,0.45454545454545453,0.8333333333333334,True,,,,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,0.7070000000000001,34,21.0,OFC,0.6176470588235294,1.6153846153846156,True,,,,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,0.7890990840419705,38,16.0,OFC,0.42105263157894735,0.7272727272727272,True,,,,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,0.8807317743081708,34,14.0,OFC,0.4117647058823529,0.7,True,,,,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,1.0971548207581594,30,13.0,OFC,0.43333333333333335,0.7647058823529412,True,,,,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,1.2245599209511964,34,20.0,OFC,0.5882352941176471,1.4285714285714286,True,,,,,,,,,
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,False,1.3667597057667562,33,18.0,OFC,0.5454545454545454,1.1999999999999997,True,,,,,,,,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,0.7070000000000001,19,,,,,,7.0,19.0,13.0,0.3684210526315789,1.0,0.6842105263157895,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,0.769344846128565,19,,,,,,6.0,19.0,13.0,0.3157894736842105,1.0,0.6842105263157895,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,0.837187400657122,19,,,,,,10.0,19.0,13.0,0.5263157894736842,1.0,0.6842105263157895,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,0.9110124638462896,19,,,,,,7.0,19.0,15.0,0.3684210526315789,1.0,0.7894736842105263,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,1.07876684098121,37,,,,,,9.0,0.0,28.0,0.24324324324324326,0.0,0.7567567567567568,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,1.1738949211927685,38,,,,,,3.0,0.0,26.0,0.07894736842105263,0.0,0.6842105263157895,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,1.27741160893374,38,,,,,,5.0,0.0,27.0,0.13157894736842105,0.0,0.7105263157894737,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,1.390056630435602,37,,,,,,0.0,0.0,29.0,0.0,0.0,0.7837837837837838,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,1.64602248543222,19,,,,,,7.0,19.0,13.0,0.3684210526315789,1.0,0.6842105263157895,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,1.7911724409886975,19,,,,,,12.0,19.0,11.0,0.631578947368421,1.0,0.5789473684210527,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,1.9491220452647464,18,,,,,,12.0,18.0,13.0,0.6666666666666666,1.0,0.7222222222222222,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,2.121,18,,,,,,15.0,18.0,12.0,0.8333333333333334,1.0,0.6666666666666666,False,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,0.7070000000000001,12,,,,,,0.0,12.0,7.0,0.0,1.0,0.5833333333333334,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,0.769344846128565,13,,,,,,0.0,13.0,7.0,0.0,1.0,0.5384615384615384,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,0.837187400657122,9,,,,,,0.0,9.0,6.0,0.0,1.0,0.6666666666666666,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,0.9110124638462896,12,,,,,,0.0,12.0,10.0,0.0,1.0,0.8333333333333334,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,1.07876684098121,9,,,,,,9.0,0.0,7.0,1.0,0.0,0.7777777777777778,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,1.27741160893374,5,,,,,,5.0,0.0,2.0,1.0,0.0,0.4,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,1.64602248543222,12,,,,,,0.0,12.0,7.0,0.0,1.0,0.5833333333333334,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,1.7911724409886975,7,,,,,,0.0,7.0,4.0,0.0,1.0,0.5714285714285714,True,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,False,1.9491220452647464,6,,,,,,0.0,6.0,4.0,0.0,1.0,0.6666666666666666,True,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,0.7070000000000001,5,1.0,ACx,0.2,0.25,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,0.769344846128565,6,4.0,ACx,0.6666666666666666,1.9999999999999998,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,1.07876684098121,10,5.0,ACx,0.5,1.0,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,1.1738949211927685,11,5.0,ACx,0.45454545454545453,0.8333333333333334,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,1.27741160893374,8,5.0,ACx,0.625,1.6666666666666667,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,1.390056630435602,13,3.0,ACx,0.23076923076923078,0.30000000000000004,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,1.64602248543222,7,5.0,ACx,0.7142857142857143,2.5,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,1.9491220452647464,5,2.0,ACx,0.4,0.6666666666666667,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,2.121,5,3.0,ACx,0.6,1.4999999999999998,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,0.7070000000000001,5,4.0,OFC,0.8,4.000000000000001,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,0.769344846128565,6,2.0,OFC,0.3333333333333333,0.49999999999999994,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,1.07876684098121,10,5.0,OFC,0.5,1.0,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,1.1738949211927685,11,6.0,OFC,0.5454545454545454,1.1999999999999997,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,1.27741160893374,8,3.0,OFC,0.375,0.6,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,1.390056630435602,13,10.0,OFC,0.7692307692307693,3.333333333333334,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,1.64602248543222,7,2.0,OFC,0.2857142857142857,0.39999999999999997,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,1.9491220452647464,5,3.0,OFC,0.6,1.4999999999999998,True,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,2.121,5,2.0,OFC,0.4,0.6666666666666667,True,,,,,,,,,
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,False,0.769344846128565,6,2.0,ACx,0.3333333333333333,0.49999999999999994,True,,,,,,,,,
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,False,1.07876684098121,6,6.0,ACx,1.0,,True,,,,,,,,,
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,False,1.1738949211927685,15,13.0,ACx,0.8666666666666667,6.500000000000002,True,,,,,,,,,
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,False,1.27741160893374,16,16.0,ACx,1.0,,True,,,,,,,,,
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,False,1.390056630435602,5,5.0,ACx,1.0,,True,,,,,,,,,
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,False,0.769344846128565,6,4.0,OFC,0.6666666666666666,1.9999999999999998,True,,,,,,,,,
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,False,1.07876684098121,6,0.0,OFC,0.0,,True,,,,,,,,,
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,False,1.1738949211927685,15,2.0,OFC,0.13333333333333333,0.15384615384615383,True,,,,,,,,,
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,False,1.27741160893374,16,0.0,OFC,0.0,,True,,,,,,,,,
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,False,1.390056630435602,5,0.0,OFC,0.0,,True,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,0.7070000000000001,16,8.0,ACx,0.5,1.0,True,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,0.769344846128565,12,7.0,ACx,0.5833333333333334,1.4000000000000001,True,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,0.837187400657122,12,7.0,ACx,0.5833333333333334,1.4000000000000001,True,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,0.9110124638462896,16,8.0,ACx,0.5,1.0,True,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,1.07876684098121,32,22.0,ACx,0.6875,2.2,True,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,1.1738949211927685,43,32.0,ACx,0.7441860465116279,2.9090909090909087,True,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,1.27741160893374,37,18.0,ACx,0.4864864864864865,0.9473684210526316,True,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,1.390056630435602,19,6.0,ACx,0.3157894736842105,0.4615384615384615,True,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,1.64602248543222,10,3.0,ACx,0.3,0.4285714285714286,True,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,1.7911724409886975,10,2.0,ACx,0.2,0.25,True,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,1.9491220452647464,9,4.0,ACx,0.4444444444444444,0.7999999999999999,True,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,2.121,10,2.0,ACx,0.2,0.25,True,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,0.7070000000000001,16,8.0,OFC,0.5,1.0,True,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,0.769344846128565,12,5.0,OFC,0.4166666666666667,0.7142857142857144,True,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,0.837187400657122,12,5.0,OFC,0.4166666666666667,0.7142857142857144,True,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,0.9110124638462896,16,8.0,OFC,0.5,1.0,True,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,1.07876684098121,32,10.0,OFC,0.3125,0.45454545454545453,True,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,1.1738949211927685,43,11.0,OFC,0.2558139534883721,0.34375,True,,,,,,,,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,False,1.27741160893374,37,19.0,OFC,0.5135135135135135,1.0555555555555554,True,,,,,,,,,
