animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,n_trials,cohen_mouse_acx,p_agree_mouse_acx,cohen_mouse_ofc,p_agree_mouse_ofc,cohen_acx_ofc,p_agree_acx_ofc,cohen_gt_acx,p_agree_gt_acx,cohen_gt_ofc,p_agree_gt_ofc,cohen_gt_mouse,p_agree_gt_mouse,var_agree_acx_ofc,fleiss_mouse_acx_ofc,fleiss_mouse_acx_ofc_gt,stimulus,trials,n_mouse_go,n_gt_go,n_acx_go,p_mouse_go,p_gt_go,p_acx_go,error_trials_only,n_ofc_go,p_ofc_go
G5A1,16/7,(Novice) 1b Categorization,,,False,150.0,-0.08923884514435707,0.44666666666666666,-0.06516290726817045,0.43333333333333335,0.17097521839900162,0.5866666666666667,0.040000000000000036,0.52,0.19999999999999996,0.6,0.0,0.5,0.2424888888888889,-0.04757085020242905,0.015488594762038805,,,,,,,,,,,
G4A4,27/3/2025,(Novice) 1b Categorization,,,False,204.0,0.06449121452017768,0.5343137254901961,0.03662297609868935,0.5196078431372549,0.09958341598889112,0.5637254901960784,-0.0022155861670358967,0.5,0.0477382098171319,0.5245098039215687,-0.10805614304941359,0.44607843137254904,0.2459390618992695,0.06321446018563744,0.019992236024844495,,,,,,,,,,,
G4A4,27/3/2025,(Novice) 2b Categorization,,,False,290.0,-0.011977126390202158,0.46551724137931033,0.03195656044151698,0.4827586206896552,-0.03377660919249631,0.5137931034482759,-0.13103448275862073,0.43448275862068964,-0.04137931034482756,0.4793103448275862,0.096551724137931,0.5482758620689655,0.24980975029726515,-0.03158946982224631,-0.02882278778044241,,,,,,,,,,,
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.07876684098121,10.0,1.0,0.0,,0.1,0.0,,False,7.0,0.7
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.1738949211927685,10.0,5.0,0.0,,0.5,0.0,,False,6.0,0.6
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.27741160893374,11.0,5.0,0.0,,0.45454545454545453,0.0,,False,8.0,0.7272727272727273
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.390056630435602,10.0,3.0,0.0,,0.3,0.0,,False,7.0,0.7
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.64602248543222,10.0,5.0,10.0,,0.5,1.0,,False,4.0,0.4
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.7911724409886975,11.0,6.0,11.0,,0.5454545454545454,1.0,,False,6.0,0.5454545454545454
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.9491220452647464,10.0,4.0,10.0,,0.4,1.0,,False,6.0,0.6
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,,,,,,,,,,,,2.121,10.0,2.0,10.0,,0.2,1.0,,False,7.0,0.7
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.1738949211927685,5.0,5.0,0.0,,1.0,0.0,,True,3.0,0.6
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.27741160893374,5.0,5.0,0.0,,1.0,0.0,,True,3.0,0.6
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.64602248543222,5.0,0.0,5.0,,0.0,1.0,,True,3.0,0.6
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.7911724409886975,5.0,0.0,5.0,,0.0,1.0,,True,4.0,0.8
G5A1,16/7,(Novice) 2b Categorization,,,False,,,,,,,,,,,,,,,,,1.9491220452647464,6.0,0.0,6.0,,0.0,1.0,,True,3.0,0.5
