animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,stimulus,trials,n_mouse_go,n_gt_go,n_acx_go,n_ofc_go,p_mouse_go,p_gt_go,p_acx_go,p_ofc_go,error_trials_only,n_behavior_match,p_behavior_match,odds_behavior_match,models_agree_only,agreement_state,condition,acx_pred,n_condition,n_mouse_nogo,p_mouse_nogo,n_gt_nogo,p_gt_nogo,ofc_pred
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,1.1738949211927685,3.0,,,,,,,,,,1.0,0.3333333333333333,0.49999999999999994,True,Both No-Go,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,1.27741160893374,6.0,,,,,,,,,,3.0,0.5,1.0,True,Both Go,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,1.27741160893374,2.0,,,,,,,,,,0.0,0.0,,True,Both No-Go,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,1.390056630435602,8.0,,,,,,,,,,6.0,0.75,3.0,True,Both Go,,,,,,,,
G3A5,18/2/2025,(1b Expert) 1b Categorization,,,False,1.390056630435602,1.0,,,,,,,,,,0.0,0.0,,True,Both No-Go,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,0.7070000000000001,38.0,31.0,38.0,18.0,23.0,0.8157894736842105,1.0,0.47368421052631576,0.6052631578947368,False,,,,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,0.769344846128565,38.0,31.0,38.0,14.0,19.0,0.8157894736842105,1.0,0.3684210526315789,0.5,False,,,,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,0.837187400657122,37.0,32.0,37.0,20.0,18.0,0.8648648648648649,1.0,0.5405405405405406,0.4864864864864865,False,,,,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,0.9110124638462896,37.0,31.0,37.0,22.0,19.0,0.8378378378378378,1.0,0.5945945945945946,0.5135135135135135,False,,,,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,38.0,27.0,0.0,19.0,25.0,0.7105263157894737,0.0,0.5,0.6578947368421053,False,,,,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,1.1738949211927685,38.0,21.0,0.0,25.0,20.0,0.5526315789473685,0.0,0.6578947368421053,0.5263157894736842,False,,,,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,1.27741160893374,37.0,25.0,0.0,20.0,22.0,0.6756756756756757,0.0,0.5405405405405406,0.5945945945945946,False,,,,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,1.390056630435602,37.0,18.0,0.0,23.0,21.0,0.4864864864864865,0.0,0.6216216216216216,0.5675675675675675,False,,,,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,0.7070000000000001,7.0,0.0,7.0,3.0,4.0,0.0,1.0,0.42857142857142855,0.5714285714285714,True,,,,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,0.769344846128565,7.0,0.0,7.0,3.0,2.0,0.0,1.0,0.42857142857142855,0.2857142857142857,True,,,,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,0.837187400657122,5.0,0.0,5.0,2.0,0.0,0.0,1.0,0.4,0.0,True,,,,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,0.9110124638462896,6.0,0.0,6.0,1.0,4.0,0.0,1.0,0.16666666666666666,0.6666666666666666,True,,,,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,27.0,27.0,0.0,14.0,18.0,1.0,0.0,0.5185185185185185,0.6666666666666666,True,,,,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,1.1738949211927685,21.0,21.0,0.0,17.0,10.0,1.0,0.0,0.8095238095238095,0.47619047619047616,True,,,,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,1.27741160893374,25.0,25.0,0.0,13.0,15.0,1.0,0.0,0.52,0.6,True,,,,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,1.390056630435602,18.0,18.0,0.0,11.0,9.0,1.0,0.0,0.6111111111111112,0.5,True,,,,,,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,0.7070000000000001,19.0,,,,,,,,,,11.0,0.5789473684210527,1.3750000000000002,True,Models agree (pooled),,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,0.769344846128565,21.0,,,,,,,,,,10.0,0.47619047619047616,0.909090909090909,True,Models agree (pooled),,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,0.837187400657122,19.0,,,,,,,,,,13.0,0.6842105263157895,2.166666666666667,True,Models agree (pooled),,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,0.9110124638462896,20.0,,,,,,,,,,13.0,0.65,1.8571428571428574,True,Models agree (pooled),,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,20.0,,,,,,,,,,12.0,0.6,1.4999999999999998,True,Models agree (pooled),,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,1.1738949211927685,15.0,,,,,,,,,,10.0,0.6666666666666666,1.9999999999999998,True,Models agree (pooled),,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,1.27741160893374,21.0,,,,,,,,,,11.0,0.5238095238095238,1.1,True,Models agree (pooled),,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,1.390056630435602,17.0,,,,,,,,,,7.0,0.4117647058823529,0.7,True,Models agree (pooled),,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,0.7070000000000001,4.0,,,,,,,,,,2.0,0.5,1.0,True,Both Go,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,0.7070000000000001,4.0,,,,,,,,,,3.0,0.75,3.0,True,Both No-Go,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,0.769344846128565,6.0,,,,,,,,,,1.0,0.16666666666666666,0.19999999999999998,True,Both Go,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,0.769344846128565,2.0,,,,,,,,,,2.0,1.0,,True,Both No-Go,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,0.837187400657122,6.0,,,,,,,,,,3.0,0.5,1.0,True,Both Go,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,0.837187400657122,1.0,,,,,,,,,,0.0,0.0,,True,Both No-Go,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,0.9110124638462896,6.0,,,,,,,,,,3.0,0.5,1.0,True,Both Go,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,0.9110124638462896,4.0,,,,,,,,,,2.0,0.5,1.0,True,Both No-Go,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,7.0,,,,,,,,,,6.0,0.8571428571428571,5.999999999999997,True,Both Go,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,5.0,,,,,,,,,,2.0,0.4,0.6666666666666667,True,Both No-Go,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,1.1738949211927685,4.0,,,,,,,,,,3.0,0.75,3.0,True,Both Go,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,1.1738949211927685,3.0,,,,,,,,,,2.0,0.6666666666666666,1.9999999999999998,True,Both No-Go,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,1.27741160893374,5.0,,,,,,,,,,2.0,0.4,0.6666666666666667,True,Both Go,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,1.27741160893374,4.0,,,,,,,,,,3.0,0.75,3.0,True,Both No-Go,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,1.390056630435602,4.0,,,,,,,,,,2.0,0.5,1.0,True,Both Go,,,,,,,,
G4A5,7/4/2025,(1b Expert) 1b Categorization,,,False,1.390056630435602,2.0,,,,,,,,,,1.0,0.5,1.0,True,Both No-Go,,,,,,,,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,109.0,77.0,,,0.7077922077922078,0.5,,,,,,,,,ACx=Go,1.0,154.0,45.0,0.2922077922077922,77.0,0.5,
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,False,,,103.0,73.0,,,0.7054794520547946,0.5,,,,,,,,,ACx=No-Go,0.0,146.0,43.0,0.2945205479452055,73.0,0.5,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,14.0,7.0,0.0,5.0,5.0,0.5,0.0,0.35714285714285715,0.35714285714285715,False,,,,,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.1738949211927685,14.0,2.0,0.0,3.0,4.0,0.14285714285714285,0.0,0.21428571428571427,0.2857142857142857,False,,,,,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.27741160893374,14.0,4.0,0.0,4.0,8.0,0.2857142857142857,0.0,0.2857142857142857,0.5714285714285714,False,,,,,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.390056630435602,14.0,0.0,0.0,3.0,8.0,0.0,0.0,0.21428571428571427,0.5714285714285714,False,,,,,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.64602248543222,14.0,5.0,14.0,8.0,8.0,0.35714285714285715,1.0,0.5714285714285714,0.5714285714285714,False,,,,,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.7911724409886975,14.0,11.0,14.0,12.0,4.0,0.7857142857142857,1.0,0.8571428571428571,0.2857142857142857,False,,,,,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.9491220452647464,14.0,12.0,14.0,11.0,6.0,0.8571428571428571,1.0,0.7857142857142857,0.42857142857142855,False,,,,,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,2.121,14.0,11.0,14.0,13.0,4.0,0.7857142857142857,1.0,0.9285714285714286,0.2857142857142857,False,,,,,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,7.0,7.0,0.0,3.0,4.0,1.0,0.0,0.42857142857142855,0.5714285714285714,True,,,,,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.64602248543222,9.0,0.0,9.0,3.0,4.0,0.0,1.0,0.3333333333333333,0.4444444444444444,True,,,,,,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,8.0,,,,,,,,,,6.0,0.75,3.0,True,Models agree (pooled),,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.1738949211927685,9.0,,,,,,,,,,6.0,0.6666666666666666,1.9999999999999998,True,Models agree (pooled),,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.27741160893374,8.0,,,,,,,,,,5.0,0.625,1.6666666666666667,True,Models agree (pooled),,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.390056630435602,5.0,,,,,,,,,,4.0,0.8,4.000000000000001,True,Models agree (pooled),,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.64602248543222,8.0,,,,,,,,,,7.0,0.875,7.0,True,Models agree (pooled),,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.7911724409886975,6.0,,,,,,,,,,5.0,0.8333333333333334,5.000000000000002,True,Models agree (pooled),,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.9491220452647464,9.0,,,,,,,,,,6.0,0.6666666666666666,1.9999999999999998,True,Models agree (pooled),,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,2.121,5.0,,,,,,,,,,3.0,0.6,1.4999999999999998,True,Models agree (pooled),,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,3.0,,,,,,,,,,3.0,1.0,,True,Both Go,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,2.0,,,,,,,,,,1.0,0.5,1.0,True,Both No-Go,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.1738949211927685,1.0,,,,,,,,,,0.0,0.0,,True,Both Go,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.1738949211927685,3.0,,,,,,,,,,3.0,1.0,,True,Both No-Go,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.27741160893374,2.0,,,,,,,,,,1.0,0.5,1.0,True,Both Go,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.27741160893374,2.0,,,,,,,,,,2.0,1.0,,True,Both No-Go,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.390056630435602,2.0,,,,,,,,,,1.0,0.5,1.0,True,Both No-Go,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.64602248543222,1.0,,,,,,,,,,1.0,1.0,,True,Both Go,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.64602248543222,3.0,,,,,,,,,,2.0,0.6666666666666666,1.9999999999999998,True,Both No-Go,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.7911724409886975,2.0,,,,,,,,,,2.0,1.0,,True,Both Go,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.7911724409886975,2.0,,,,,,,,,,2.0,1.0,,True,Both No-Go,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.9491220452647464,6.0,,,,,,,,,,4.0,0.6666666666666666,1.9999999999999998,True,Both No-Go,,,,,,,,
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,2.121,3.0,,,,,,,,,,2.0,0.6666666666666666,1.9999999999999998,True,Both Go,,,,,,,,
