animal,date,session_type,session_dprime,session_hit_rate,histology_fallback,stimulus,trials,n_mouse_go,n_gt_go,n_ofc_go,p_mouse_go,p_gt_go,p_ofc_go,error_trials_only,n_trials,cohen_mouse_acx,p_agree_mouse_acx,cohen_mouse_ofc,p_agree_mouse_ofc,cohen_acx_ofc,p_agree_acx_ofc,cohen_gt_acx,p_agree_gt_acx,cohen_gt_ofc,p_agree_gt_ofc,cohen_gt_mouse,p_agree_gt_mouse,fleiss_mouse_acx_ofc,fleiss_mouse_acx_ofc_gt,n_acx_go,p_acx_go
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,0.769344846128565,38.0,35.0,38.0,,0.9210526315789473,1.0,,False,,,,,,,,,,,,,,,,22.0,0.5789473684210527
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,0.837187400657122,37.0,35.0,37.0,,0.9459459459459459,1.0,,False,,,,,,,,,,,,,,,,17.0,0.4594594594594595
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,0.9110124638462896,37.0,33.0,37.0,,0.8918918918918919,1.0,,False,,,,,,,,,,,,,,,,20.0,0.5405405405405406
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.07876684098121,38.0,27.0,0.0,,0.7105263157894737,0.0,,False,,,,,,,,,,,,,,,,14.0,0.3684210526315789
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.1738949211927685,38.0,14.0,0.0,,0.3684210526315789,0.0,,False,,,,,,,,,,,,,,,,18.0,0.47368421052631576
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.27741160893374,37.0,17.0,0.0,,0.4594594594594595,0.0,,False,,,,,,,,,,,,,,,,25.0,0.6756756756756757
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.390056630435602,37.0,16.0,0.0,,0.43243243243243246,0.0,,False,,,,,,,,,,,,,,,,20.0,0.5405405405405406
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.07876684098121,27.0,27.0,0.0,,1.0,0.0,,True,,,,,,,,,,,,,,,,11.0,0.4074074074074074
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.1738949211927685,14.0,14.0,0.0,,1.0,0.0,,True,,,,,,,,,,,,,,,,7.0,0.5
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.27741160893374,17.0,17.0,0.0,,1.0,0.0,,True,,,,,,,,,,,,,,,,11.0,0.6470588235294118
G4A6,7/4/2025,(1b Expert) 1b Categorization,,,True,1.390056630435602,16.0,16.0,0.0,,1.0,0.0,,True,,,,,,,,,,,,,,,,10.0,0.625
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,14.0,7.0,0.0,,0.5,0.0,,False,,,,,,,,,,,,,,,,5.0,0.35714285714285715
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.1738949211927685,14.0,2.0,0.0,,0.14285714285714285,0.0,,False,,,,,,,,,,,,,,,,3.0,0.21428571428571427
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.27741160893374,14.0,4.0,0.0,,0.2857142857142857,0.0,,False,,,,,,,,,,,,,,,,3.0,0.21428571428571427
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.390056630435602,14.0,0.0,0.0,,0.0,0.0,,False,,,,,,,,,,,,,,,,2.0,0.14285714285714285
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.64602248543222,14.0,5.0,14.0,,0.35714285714285715,1.0,,False,,,,,,,,,,,,,,,,9.0,0.6428571428571429
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.7911724409886975,14.0,11.0,14.0,,0.7857142857142857,1.0,,False,,,,,,,,,,,,,,,,12.0,0.8571428571428571
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.9491220452647464,14.0,12.0,14.0,,0.8571428571428571,1.0,,False,,,,,,,,,,,,,,,,11.0,0.7857142857142857
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,2.121,14.0,11.0,14.0,,0.7857142857142857,1.0,,False,,,,,,,,,,,,,,,,13.0,0.9285714285714286
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.07876684098121,7.0,7.0,0.0,,1.0,0.0,,True,,,,,,,,,,,,,,,,3.0,0.42857142857142855
G5A3,31/7/2025,(1b Expert) 1b Categorization,,,False,1.64602248543222,9.0,0.0,9.0,,0.0,1.0,,True,,,,,,,,,,,,,,,,4.0,0.4444444444444444
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,0.7070000000000001,53.0,14.0,53.0,,0.2641509433962264,1.0,,False,,,,,,,,,,,,,,,,32.0,0.6037735849056604
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,0.7890990840419705,53.0,8.0,53.0,,0.1509433962264151,1.0,,False,,,,,,,,,,,,,,,,35.0,0.660377358490566
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,0.8807317743081708,52.0,6.0,52.0,,0.11538461538461539,1.0,,False,,,,,,,,,,,,,,,,35.0,0.6730769230769231
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,1.2245599209511964,55.0,9.0,0.0,,0.16363636363636364,0.0,,False,,,,,,,,,,,,,,,,43.0,0.7818181818181819
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,1.3667597057667562,55.0,2.0,0.0,,0.03636363636363636,0.0,,False,,,,,,,,,,,,,,,,37.0,0.6727272727272727
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,1.5254721809420373,54.0,2.0,0.0,,0.037037037037037035,0.0,,False,,,,,,,,,,,,,,,,42.0,0.7777777777777778
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,0.7070000000000001,39.0,0.0,39.0,,0.0,1.0,,True,,,,,,,,,,,,,,,,26.0,0.6666666666666666
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,0.7890990840419705,45.0,0.0,45.0,,0.0,1.0,,True,,,,,,,,,,,,,,,,31.0,0.6888888888888889
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,0.8807317743081708,46.0,0.0,46.0,,0.0,1.0,,True,,,,,,,,,,,,,,,,32.0,0.6956521739130435
G6A5,30/9/2025,(1b Expert) 1b Categorization,,,True,1.2245599209511964,9.0,9.0,0.0,,1.0,0.0,,True,,,,,,,,,,,,,,,,9.0,1.0
G7A1,12/11/2025,(1b Expert) 1b Categorization,,,True,,,,,,,,,,400.0,0.002192982456140596,0.545,-0.0013831258644536356,0.5475,-0.04423868312757206,0.4925,0.07425940752602085,0.5375,0.059176779682222035,0.53,0.32313863123589864,0.6625,-0.03325209708188424,0.058384129301218564,,
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.7070000000000001,19.0,7.0,19.0,,0.3684210526315789,1.0,,False,,,,,,,,,,,,,,,,13.0,0.6842105263157895
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.769344846128565,19.0,6.0,19.0,,0.3157894736842105,1.0,,False,,,,,,,,,,,,,,,,13.0,0.6842105263157895
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.837187400657122,19.0,10.0,19.0,,0.5263157894736842,1.0,,False,,,,,,,,,,,,,,,,13.0,0.6842105263157895
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.9110124638462896,19.0,7.0,19.0,,0.3684210526315789,1.0,,False,,,,,,,,,,,,,,,,15.0,0.7894736842105263
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.07876684098121,37.0,9.0,0.0,,0.24324324324324326,0.0,,False,,,,,,,,,,,,,,,,28.0,0.7567567567567568
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.1738949211927685,38.0,3.0,0.0,,0.07894736842105263,0.0,,False,,,,,,,,,,,,,,,,26.0,0.6842105263157895
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.27741160893374,38.0,5.0,0.0,,0.13157894736842105,0.0,,False,,,,,,,,,,,,,,,,27.0,0.7105263157894737
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.390056630435602,37.0,0.0,0.0,,0.0,0.0,,False,,,,,,,,,,,,,,,,29.0,0.7837837837837838
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.64602248543222,19.0,7.0,19.0,,0.3684210526315789,1.0,,False,,,,,,,,,,,,,,,,13.0,0.6842105263157895
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.7911724409886975,19.0,12.0,19.0,,0.631578947368421,1.0,,False,,,,,,,,,,,,,,,,11.0,0.5789473684210527
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.9491220452647464,18.0,12.0,18.0,,0.6666666666666666,1.0,,False,,,,,,,,,,,,,,,,13.0,0.7222222222222222
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,2.121,18.0,15.0,18.0,,0.8333333333333334,1.0,,False,,,,,,,,,,,,,,,,12.0,0.6666666666666666
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.7070000000000001,12.0,0.0,12.0,,0.0,1.0,,True,,,,,,,,,,,,,,,,7.0,0.5833333333333334
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.769344846128565,13.0,0.0,13.0,,0.0,1.0,,True,,,,,,,,,,,,,,,,7.0,0.5384615384615384
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.837187400657122,9.0,0.0,9.0,,0.0,1.0,,True,,,,,,,,,,,,,,,,6.0,0.6666666666666666
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,0.9110124638462896,12.0,0.0,12.0,,0.0,1.0,,True,,,,,,,,,,,,,,,,10.0,0.8333333333333334
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.07876684098121,9.0,9.0,0.0,,1.0,0.0,,True,,,,,,,,,,,,,,,,7.0,0.7777777777777778
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.27741160893374,5.0,5.0,0.0,,1.0,0.0,,True,,,,,,,,,,,,,,,,2.0,0.4
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.64602248543222,12.0,0.0,12.0,,0.0,1.0,,True,,,,,,,,,,,,,,,,7.0,0.5833333333333334
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.7911724409886975,7.0,0.0,7.0,,0.0,1.0,,True,,,,,,,,,,,,,,,,4.0,0.5714285714285714
G4A6,7/4/2025,(1b Expert) 2b Categorization,,,True,1.9491220452647464,6.0,0.0,6.0,,0.0,1.0,,True,,,,,,,,,,,,,,,,4.0,0.6666666666666666
G5A3,31/7/2025,(1b Expert) 2b Categorization,,,False,,,,,,,,,,181.0,-0.002153183635804355,0.40331491712707185,-0.09095890410958903,0.27071823204419887,0.02162162162162156,0.569060773480663,-0.11762548144525284,0.4419889502762431,-0.052389987147316165,0.47513812154696133,0.1526114184957744,0.574585635359116,-0.17130647130647111,-0.08840609570904223,,
G3A3,20/2/2025,(2b Expert) 2b Categorization,,,True,,,,,,,,,,301.0,0.3036552316742681,0.6511627906976745,0.0,0.4983388704318937,0.0,0.7873754152823921,0.27877257619869616,0.6910299003322259,0.0,0.6245847176079734,0.46887820371432365,0.7342192691029901,0.023255813953488892,0.15355273415747858,,
G4A2,8/4/2025,(2b Expert) 2b Categorization,,,True,,,,,,,,,,500.0,0.14143771672445973,0.588,-0.06645272385723251,0.564,0.01334171556300668,0.548,0.256,0.628,-0.02400000000000002,0.488,0.472,0.736,0.012870148383334359,0.12385811655263938,,
G4A3,6/4/2025,(2b Expert) 2b Categorization,,,True,,,,,,,,,,334.0,0.1279043366381594,0.5868263473053892,0.024932933564778204,0.5568862275449101,0.11789303792825191,0.5688622754491018,-0.07711050594811512,0.46107784431137727,-0.016760977007377574,0.49101796407185627,0.45061860831009093,0.7245508982035929,0.0807731694828469,0.0965692660835038,,
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,0.7070000000000001,32.0,31.0,32.0,,0.96875,1.0,,False,,,,,,,,,,,,,,,,12.0,0.375
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,0.769344846128565,32.0,30.0,32.0,,0.9375,1.0,,False,,,,,,,,,,,,,,,,20.0,0.625
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,0.837187400657122,31.0,29.0,31.0,,0.9354838709677419,1.0,,False,,,,,,,,,,,,,,,,16.0,0.5161290322580645
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,0.9110124638462896,31.0,28.0,31.0,,0.9032258064516129,1.0,,False,,,,,,,,,,,,,,,,15.0,0.4838709677419355
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,1.07876684098121,62.0,54.0,0.0,,0.8709677419354839,0.0,,False,,,,,,,,,,,,,,,,25.0,0.4032258064516129
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,1.1738949211927685,63.0,53.0,0.0,,0.8412698412698413,0.0,,False,,,,,,,,,,,,,,,,35.0,0.5555555555555556
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,1.27741160893374,63.0,43.0,0.0,,0.6825396825396826,0.0,,False,,,,,,,,,,,,,,,,34.0,0.5396825396825397
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,1.390056630435602,62.0,35.0,0.0,,0.5645161290322581,0.0,,False,,,,,,,,,,,,,,,,31.0,0.5
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,1.64602248543222,31.0,27.0,31.0,,0.8709677419354839,1.0,,False,,,,,,,,,,,,,,,,11.0,0.3548387096774194
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,1.7911724409886975,31.0,30.0,31.0,,0.967741935483871,1.0,,False,,,,,,,,,,,,,,,,10.0,0.3225806451612903
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,1.9491220452647464,31.0,29.0,31.0,,0.9354838709677419,1.0,,False,,,,,,,,,,,,,,,,20.0,0.6451612903225806
G4A5,9/4/2025,(2b Expert) 2b Categorization,,,True,2.121,31.0,29.0,31.0,,0.9354838709677419,1.0,,False,,,,,,,,,,,,,,,,21.0,0.6774193548387096
