Checkbox,Animal,Date,Coordinates Craniotomy / Area,Depth craniotomy ,Angle,spike glx file,Recording Assessment ,Session Type,behavioral file,DI,Performance Evaluation during recording ,age ,Acx good units,OFC good units,sex,borders_table,Notes,current_dir
FALSE,G4A5,9/4/2025,vlOFC (imec1) / Acx (imec0),3800/3700,77/90,G4A5_2b_4t_expert_g0,Noisy,(2b Expert) 2b Categorization,Z:\Shared\Amichai\Data\G4A5\2025-04-09\20-24-00_1\behavior\A5_GNG_20250409_155750.mat,Blue,Good,P87,"good: 0, MUA: 27, non-somatic: 12",,male,,It was noist at the start and than OK after grounding the water tank,Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A5_2b_4t_expert_g0
FALSE,G4A6,9/4/2025,vlOFC (imec1),3800,76,G4A6_2b_4t_expert_g0,Noisy,(2b Expert) 2b Categorization,Z:\Shared\Amichai\Data\G4A6\2025-04-09\20-24-00\behavior\A6_GNG_20250409_142456.mat,Blue,Good,P87,"good: 2, MUA: 26, non-somatic: 15",,male,,"Couldent insert the Acx probe - he was very thirsty - intersting recording behvioraly, worth taking a deep look at it.",Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A6_2b_4t_expert_g0
FALSE,G5A1,16/7,vlOFC (imec1) ,3700,76,G5A1_naive_2b_4t_high_g0,Medium,(Novice) 1b Categorization,Z:\Shared\Amichai\Data\G5A1\2025-07-16\11-48-00_1\ephys\catgt_G5A1_naive_2b_4t_high_g0\G5A1_GNG_20250716_114927.mat,Blue,Good,?,"good: 6, MUA: 41, non-somatic: 6","good: 60, MUA: 5, non-somatic: 20",male,,"Need to understand what is going on here, I think the first is one boundary and the seconds are 2 boundaries",Z:\Shared\Amichai\Data\G5A1\2025-07-16\11-48-00_1\ephys\catgt_G5A1_naive_2b_4t_high_g0
FALSE,G4A2,26/3/2025,vlOFC (imec1) / Acx (imec0),3800/3500,80/90,G4A2_novice,Noisy,(Novice) 1b Categorization,Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A2_novice_g0\A2_GNG_20250326_144335_concat.mat,Red,Good,P73,"good: 0, MUA: 197, non-somatic: 101","good: 1, MUA: 118, non-somatic: 93",male,,I played a lot with the grounds,Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A2_novice_g0
FALSE,G4A3,26/3/2025,vlOFC (imec1) / Acx (imec0),3800/3800,80/90,G4A3_novice,Noisy,(Novice) 1b Categorization,Z:\Shared\Amichai\Data\G4A3\2025-03-26\17-03-00\behavior\A3_GNG_20250326_163101.mat,Red,Good,P73,"good: 1, MUA: 61, non-somatic: 30","good: 1, MUA: 11, non-somatic: 15",male,,,Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A3_novice_g0
FALSE,G4A4,27/3/2025,vlOFC (imec1) / Acx (imec0),3800/3600,78/90,G4A4_novice,Noisy,(Novice) 1b Categorization,Z:\Shared\Amichai\Data\G4A4\2025-03-27\11-06-00\behavior\A4_GNG_20250327_104318.mat,Red,Good-> Not bad,P74,"good: 18, MUA: 139, non-somatic: 40","good: 0, MUA: 16, non-somatic: 7",male,,,Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A4_novice_g0
FALSE,G4A5,27/3/2025,vlOFC (imec1) / Acx (imec0),3850/3600,76/90,G4A5_novice,Noisy,(Novice) 1b Categorization,Z:\Shared\Amichai\Data\G4A5\2025-03-27\20-24-00_3\behavior\A5_GNG_20250327_122537.mat,Red,Good,P74,,,male,,,Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A5_novice_g0
FALSE,G4A2,26/3/2025,vlOFC (imec1) / Acx (imec0),3800/3500,80/90, G4A2_novice_cat2_4pairs,Noisy,(Novice) 2b Categorization,Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A2_novice_cat2_4pairs_g0\A2_GNG_20250326_151100.mat,Red,Good,P73,"good: 0, MUA: 195, non-somatic: 41","good: 0, MUA: 5, non-somatic: 3",male,,I played a lot with the grounds,Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A2_novice_cat2_4pairs_g0
FALSE,G4A3,26/3/2025,vlOFC (imec1) / Acx (imec0),3800/3800,80/90,G4A3_novice_2boudaries4_g0,Noisy,(Novice) 2b Categorization,Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A3_novice_2boudaries4_g0\A3_GNG_20250326_163101.mat,Red,Good,P73,"good: 0, MUA: 17, non-somatic: 3","good: 0, MUA: 3, non-somatic: 7",male,,,Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A3_novice_2boudaries4_g0
FALSE,G4A4,27/3/2025,vlOFC (imec1) / Acx (imec0),3800/3600,78/90,G4A4_novice_2b_4t,Noisy,(Novice) 2b Categorization,Z:\Shared\Amichai\Data\G4A4\2025-03-27\11-39-00\behavior\A4_GNG_20250327_110737.mat,Red,Good-> Not bad,P74,"good: 37, MUA: 121, non-somatic: 16","good: 3, MUA: 18, non-somatic: 6",male,,,Z:\Shared\Amichai\Data\pipeline_output\catgt_G4A4_novice_2b_4t_g0
